Id                        ,Station               ,Depth (m),Lat (°N),Long (°E),Year              ,Chla (mg/m³),NO3 (µmol/L),NO2 (µmol/L),PO4 (µmol/L),SiO2 (µmol/L),DOC (µmolC/L)
400804,L3_05,2,54.49,-54.75,2014,0.3,7.46,0.07,0.92,8.02,95.75
400795,,30,,,,0.31,7.39,0.06,0.91,7.95,101.58
400889,L3_9.5,2,55.34,-53.9,2014,0.6,14.16,0.1,0.82,7.59,63.28
400880,,30,,,,0.59,12.88,0.12,0.83,7.74,56.62
400563,L3_16.5,2,57.59,-51.57,2014,0.55,15.19,0.08,0.97,7.59,65.77
400554,,30,,,,0.51,15.69,0.08,0.98,7.44,71.6
400149,L3_17,2,57.8,-51.33,2014,0.51,14.57,0.03,1.01,7.44,89.09
400139,,30,,,,0.49,14.7,0.03,1.02,7.44,73.27
400244,L3_20,2,59.07,-49.94,2014,4.24,7.52,0.09,0.62,6.02,63.28
400235,,30,,,,4.54,7.25,0.11,0.64,6.01,64.94
400467,L3_22,2,59.75,-49.16,2014,0.92,10.91,0.08,0.77,6.22,61.61
400458,,30,,,,0.56,12.03,0.07,0.83,6.41,88.25
400365,L3_27.5,2,60.51,-48.29,2014,6.37,3.25,0.06,0.45,5.26,96.58
400355,,30,,,,2.09,7.55,0.05,0.65,5.39,69.11
408395,L3_8.5,2,55.19,-54.05,2015,0.85,13.01,0.11,0.89,7.99,68.33
408386,,30,,,,0.88,13.29,0.13,0.9,8.2,117.5
408491,L3_11.5,2,55.73,-53.49,2015,4.05,7.85,0.12,0.7,7.6,96.67
408482,,30,,,,2.14,11.04,0.11,0.88,7.41,227.5
407871,L3_14,2,56.54,-52.68,2015,0.95,13.41,0.08,1.03,8.33,83.67
407863,,30,,,,1.31,13.28,0.07,0.99,8.29,91
408276,L3_15.5,2,57.18,-52.01,2015,5.12,4.45,0.15,0.56,6.62,115.83
408265,,30,,,,2.58,11.99,0.14,0.89,7.7,86.67
408231,L3_18,2,58.22,-50.88,2015,8.02,4.69,0.13,0.51,6.91,92.5
408227,,30,,,,5.42,5.52,0.12,0.51,6.39,93.17
407968,L3_19.5,2,58.85,-50.19,2015,3.5,8.57,0.13,0.72,7.2,NA
407959,,30,,,,4.86,8.44,0.13,0.72,7.15,NA
408041,L3_23,2,59.98,-48.9,2015,8.87,0.14,0.06,0.24,4.07,103.33
408031,,30,,,,8.02,3.73,0.1,0.47,5.93,90.83
408063,L3_28,2,60.57,-48.23,2015,3.98,4.45,0.07,0.5,4.77,80.83
408055,,30,,,,2.51,6.84,0.09,0.63,5.11,151.67
433946,L3_06,2,54.75,-54.48,2016,0.95,NA,NA,NA,NA,106.28
433938,,30,,,,0.77,6.12,0.07,0.85,8.97,96.47
433246,L3_8.5,2,55.19,-53.97,2016,0.92,8.47,0.1,0.74,7.12,130.72
433238,,30,,,,1.12,9.93,0.1,0.75,6.75,75.66
433318,L3_13.5,2,56.33,-52.89,2016,1.71,10.35,0.11,0.81,7.51,73.38
433310,,30,,,,1.18,12.1,0.1,0.9,7.87,57.35
433442,L3_20.5,2,59.28,-49.71,2016,0.51,11.64,0.14,0.88,7.22,64.17
433434,,30,,,,0.59,11.14,0.13,0.89,7.04,59.2
433643,L3_23.5,2,60.08,-48.78,2016,0.52,9.17,0.15,0.79,6.75,62.29
433635,,30,,,,0.38,10.07,0.18,0.83,6.86,55.72
433569,L3_28.5,2,60.65,-48.15,2016,6.77,3.49,0.11,0.47,3.95,73.29
433561,,30,,,,2.19,5.95,0.1,0.6,4.55,78.43
