FID,year,Station,Latitude,Longitude,Chlorophyta,Dinoflagellata,Ochrophyta,Prymnesiophyceae,auto,mixo,hetero,Nanoplankton,Picoplankton,Nanomed,Nanolarge,Microplankton,Nanosmall,Motility0,Motility1,DMS0,DMS1
0,2014,17,57.7957,-51.3347,16583,37019,10659,15264,10.89124903,9.686993312,2.124520086,7.137087867,6.577528626,4.445487583,2.059238175,8.988145937,0.63236211,7.549537179,15.15322525,16.66764526,6.035117169
1,2014,20,59.0698,-49.9388,1492,31620,11967,30474,15.26640179,9.020677513,7.056908965,17.0044997,3.746711263,12.37535837,4.394791049,10.59277731,0.23435028,14.96803917,16.3759491,23.94857334,7.395414925
2,2014,27.5,60.5077,-48.2927,2516,21291,9691,48141,18.93646693,4.694611552,3.323512092,18.68674342,1.155962817,17.93059206,0.454706208,7.111884333,0.301445149,17.82968727,9.124903305,22.95203362,4.002556953
3,2014,22,59.7465,-49.1602,4174,27757,2505,4599,6.599937047,8.666280012,1.136085573,7.310393588,1.656298834,4.276174504,1.747658601,7.43561021,1.286560483,3.005198923,13.39710371,14.65679367,1.745508959
4,2014,5,54.487,-54.7505,30302,31041,5786,6705,12.71903936,7.8247306,2.101162889,11.25787512,3.588163648,2.350812169,1.695249347,7.798894078,7.211813603,3.179448556,19.46548429,18.9798822,3.665050646
5,2015,14,56.54,-52.6788,8028,28624,6756,18433,33.7231864,26.13520816,14.11452211,38.32660631,11.26235276,22.54328642,8.087340131,24.3839576,7.69597976,23.79401378,50.17890289,53.73946935,20.23344732
6,2015,23,59.9777,-48.9013,1390,22512,18449,42447,54.77546219,18.99338793,21.56255483,57.74760055,11.27872329,41.63142881,15.28157308,26.30508112,0.834598659,54.51129202,40.82011294,71.80951336,23.5218916
7,2015,18,58.2165,-50.8797,387,9928,11759,35591,23.04942475,5.213411396,5.57879065,21.77710411,3.352980313,18.75947188,2.859468059,8.711542371,0.158164171,23.61751441,10.22411238,27.45599867,6.385628128
8,2015,8.5,55.1903,-54.047,8978,34314,7682,30284,26.83536353,17.87101794,10.27224676,34.95832048,7.848688602,19.61723581,12.3401532,12.17161915,3.000931476,23.64923684,31.32939139,39.04094582,15.93768241
9,2016,8.5,55.188,-53.9748,26061,29817,18417,12563,21.49103677,13.07270222,8.951069054,20.7851165,11.28813577,4.848731044,6.917548056,11.44155577,9.0188374,11.77851505,31.73629299,26.76802612,16.74678193
10,2016,13.5,56.326,-52.8927,7652,46759,7734,17367,12.88471865,27.53403919,7.686572654,23.74910525,7.192968801,8.092169618,11.19536903,17.16325644,4.461566605,11.07420013,37.03113036,36.13320501,11.97212548
11,2016,20.5,59.276,-49.7105,20032,40514,8000,1702,16.28893382,17.21340386,18.90997758,17.42169495,22.91259046,2.893248826,12.3000168,12.07802986,2.228429323,14.1038747,38.30844057,24.73185619,27.68045908
12,2016,28.5,60.6477,-48.1547,6009,9496,30871,5495,19.55230303,2.583799406,10.73405463,16.59780665,4.846758972,10.44829944,5.461201889,11.42559144,0.688305327,16.5211744,16.34898266,16.60380798,16.26634909
13,2016,23.5,60.0772,-48.7757,13134,37626,10080,6773,13.87380935,12.43090371,12.19839977,14.48982969,11.96037099,6.294180914,7.028985444,12.05291216,1.166663334,11.68182666,26.82128618,22.53630763,15.96680521
14,2016,6,54.7528,-54.479,9404,41671,9884,4096,9.361046207,12.30992067,3.474378468,9.090835713,1.53772786,3.31412745,2.267381434,14.51678177,3.509326829,5.251630457,19.89371489,20.90210295,4.243242398
