class,validName,trait,value,stage,reference,commentaires,
Acanthoecida,Calliacantha,buoyancy,NA,NA,NA,NA,
Acanthoecida,Calliacantha,capsule,NA,NA,NA,NA,
Acanthoecida,Calliacantha,chlb,NA,NA,NA,NA,
Acanthoecida,Calliacantha,chlc,NA,NA,NA,NA,
Acanthoecida,Calliacantha,Coloniales,NA,NA,NA,NA,
Acanthoecida,Calliacantha,DMS,0,NA,NA,assumption,
Acanthoecida,Calliacantha,feeding_strategy,hetero,NA,Manton et al 1979,NA,
Acanthoecida,Calliacantha,Forme,NA,NA,NA,NA,
Acanthoecida,Calliacantha,fyco,NA,NA,NA,NA,
Acanthoecida,Calliacantha,motility,1,NA,Carr et al 2008,NA,
Acanthoecida,Calliacantha,nfix,NA,NA,NA,NA,
Acanthoecida,Calliacantha,Parasitic,NA,NA,NA,NA,
Acanthoecida,Calliacantha,Symbiosis_bacterienne,NA,NA,NA,NA,
Acanthoecida,Calliacantha,Taille.um.,14,NA,Buck 1980,NA,
Acanthoecida,Calliacantha,Toxines,NA,NA,NA,NA,
Acanthoecida,Cosmoeca,buoyancy,NA,NA,NA,NA,
Acanthoecida,Cosmoeca,capsule,NA,NA,NA,NA,
Acanthoecida,Cosmoeca,chlb,NA,NA,NA,NA,
Acanthoecida,Cosmoeca,chlc,NA,NA,NA,NA,
Acanthoecida,Cosmoeca,Coloniales,NA,NA,NA,NA,
Acanthoecida,Cosmoeca,DMS,0,NA,NA,assumption,
Acanthoecida,Cosmoeca,feeding_strategy,hetero,NA,Booth 1989,NA,
Acanthoecida,Cosmoeca,Forme,NA,NA,NA,NA,
Acanthoecida,Cosmoeca,fyco,NA,NA,NA,NA,
Acanthoecida,Cosmoeca,motility,1,NA,Carr et al 2008,NA,
Acanthoecida,Cosmoeca,nfix,NA,NA,NA,NA,
Acanthoecida,Cosmoeca,Parasitic,NA,NA,NA,NA,
Acanthoecida,Cosmoeca,Symbiosis_bacterienne,NA,NA,NA,NA,
Acanthoecida,Cosmoeca,Taille.um.,17,NA,Thomsen & Boonruang 1984,NA,
Acanthoecida,Cosmoeca,Toxines,NA,NA,NA,NA,
Acanthoecida,Crucispina,buoyancy,NA,NA,NA,microscopy,
Acanthoecida,Crucispina,capsule,NA,NA,NA,microscopy,
Acanthoecida,Crucispina,chlb,NA,NA,NA,microscopy,
Acanthoecida,Crucispina,chlc,NA,NA,NA,microscopy,
Acanthoecida,Crucispina,Coloniales,NA,NA,NA,microscopy,
Acanthoecida,Crucispina,DMS,0,NA,NA,"microscopy, assumption",
Acanthoecida,Crucispina,feeding_strategy,hetero,NA,Tong 1997,microscopy,
Acanthoecida,Crucispina,Forme,NA,NA,NA,microscopy,
Acanthoecida,Crucispina,fyco,NA,NA,NA,microscopy,
Acanthoecida,Crucispina,motility,1,NA,Tong 1997,microscopy,
Acanthoecida,Crucispina,nfix,NA,NA,NA,microscopy,
Acanthoecida,Crucispina,Parasitic,NA,NA,NA,microscopy,
Acanthoecida,Crucispina,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Acanthoecida,Crucispina,Taille.um.,15,NA,Tong 1997,microscopy,
Acanthoecida,Crucispina,Toxines,NA,NA,NA,microscopy,
Acanthoecida,Diaphanoeca,buoyancy,0,NA,NA,NA,
Acanthoecida,Diaphanoeca,capsule,NA,NA,NA,NA,
Acanthoecida,Diaphanoeca,chlb,0,NA,NA,NA,
Acanthoecida,Diaphanoeca,chlc,0,NA,NA,NA,
Acanthoecida,Diaphanoeca,Coloniales,NA,NA,NA,NA,
Acanthoecida,Diaphanoeca,feeding_strategy,hetero,NA,Moustaka-Gouni et al 2016,NA,
Acanthoecida,Diaphanoeca,Forme,bowl,NA,NA,NA,
Acanthoecida,Diaphanoeca,fyco,0,NA,NA,NA,
