"class","validName","stage","X","buoyancy","capsule","chlb","chlc","Coloniales","DMS","feeding_strategy","Forme","fyco","motility","nfix","Parasitic","Symbiosis_bacterienne","Taille.um.","Toxines"
"Acanthoecida","Calliacantha",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"14",NA
"Acanthoecida","Cosmoeca",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"17",NA
"Acanthoecida","Crucispina",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"15",NA
"Acanthoecida","Diaphanoeca",NA,NA,"0",NA,"0","0",NA,"0","hetero","bowl","0","1","0","0",NA,"25","0"
"Acanthoecida","Lagenoeca",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"6",NA
"Acanthoecida","Monosiga",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"3",NA
"Acanthoecida","Parvicorbicula",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"6",NA
"Acanthoecida","Pleurasiga",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"12",NA
"Chlorarachniophyta","Bigelowiella",NA,NA,NA,NA,NA,NA,NA,"0","auto",NA,NA,"1","0",NA,NA,"6","0"
"Chlorophyceae","Chlamydomonas",NA,NA,"0",NA,"1","0",NA,"0","auto","sphere","0","1","0",NA,"1","6","0"
"Chlorophyceae","Pachysphaera",NA,NA,NA,NA,NA,NA,NA,"0","auto",NA,NA,"0",NA,NA,NA,"100",NA
"Chrysophyceae","Dinobryon",NA,NA,NA,NA,NA,NA,NA,"0","mixo",NA,NA,"1",NA,NA,NA,"45",NA
"Chrysophyceae","Paraphysomonas",NA,NA,"0","silica","0","0",NA,"0","hetero","sphere","0","1","0",NA,NA,"5","0"
"Coccolithales","Coccolithus",NA,NA,NA,"calcifiers",NA,NA,NA,"1","mixo","sphere",NA,"0","0",NA,NA,"6","0"
"Craspedida","Bicosta",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"25",NA
"Cryptomonadales_cl","Cryptochrysis-Chroomonas",NA,NA,NA,NA,NA,NA,NA,"0","mixo",NA,NA,"1",NA,NA,NA,"6",NA
"Cryptomonadales_cl","Geminigera",NA,NA,NA,NA,NA,NA,NA,"0","mixo","flattened ellipsoid",NA,"1","0",NA,NA,"16","0"
"Cryptomonadales_cl","Hemiselmis",NA,NA,NA,NA,NA,NA,NA,"0","auto",NA,NA,"1",NA,NA,NA,"7",NA
"Cryptomonadales_cl","Plagioselmis",NA,NA,NA,NA,NA,NA,NA,"0","auto",NA,NA,"1",NA,NA,NA,"10",NA
"Cryptomonadales_cl","Rhodomonas",NA,NA,"0",NA,"0","1",NA,"0","auto","Cone + half sphere","1","1","0",NA,NA,"13","0"
"Cryptomonadales_cl","Teleaulax",NA,NA,"0",NA,"0","1",NA,"1","auto","Cone + half sphere","1","1","0",NA,NA,"6","0"
"Cryptophyceae_cl","Goniomonas",NA,NA,NA,NA,"0","0",NA,"0","hetero","sphere","0","1","0","0",NA,"10","0"
"Diatomea","Actinocyclus",NA,NA,"0","silica","0","1",NA,"0","auto","cylinder","0","0","0","0",NA,"35","0"
"Diatomea","Arcocellulus",NA,NA,NA,NA,NA,NA,NA,"0","auto",NA,NA,"0",NA,NA,NA,"5",NA
"Diatomea","Attheya",NA,NA,"0","silica","0","1",NA,"0","auto","oval centric","0","0","0",NA,NA,"20","0"
"Diatomea","Chaetoceros",NA,NA,"0","silica","0","1","chain","0","auto","cylinder","0","0","0","0","1","15","0"
"Diatomea","Coscinodiscus",NA,NA,"0","silica","0","1",NA,"1","auto","cylinder","0","0","0",NA,NA,"120","0"
