Id,Sample,Year,Depth,Fraction,Station,chla-Peak-1,chla-Peak-4,DOY-debut,DOY-peak4,Volume,DOY,DOY-peak1,DSP-4,DSP-1,DSB-4,,,,
400140,400140R102,2014,30,small,17,12.53,8.465546489,133,148,5250,127,148,-21,-21,-6,,,,
400141,400140R13,2014,30,large,17,12.53,8.465546489,133,148,5250,127,148,-21,-21,-6,,,,
400149,400149R102,2014,2,small,17,12.53,8.465546489,133,148,3800,127,148,-21,-21,-6,,,,
400149,400149R13,2014,2,large,17,12.53,8.465546489,133,148,3800,127,148,-21,-21,-6,,,,
400235,400235R102,2014,30,small,20,15.55,14.49115968,111,140,3000,128,140,-12,-12,17,,,,
400235,400235R13,2014,30,large,20,15.55,14.49115968,111,140,3000,128,140,-12,-12,17,,,,
400244,400244R102,2014,2,small,20,15.55,14.49115968,111,140,3820,128,140,-12,-12,17,,,,
400244,400244R13,2014,2,large,20,15.55,14.49115968,111,140,3820,128,140,-12,-12,17,,,,
400355,400355R102,2014,30,small,27.5,5.98,7.615916491,102,148,4450,129,148,-19,-19,27,,,,
400355,400355R13,2014,30,large,27.5,5.98,7.615916491,102,148,4450,129,148,-19,-19,27,,,,
400365,400365R102,2014,2,small,27.5,5.98,7.615916491,102,148,3610,129,148,-19,-19,27,,,,
400365,400365R13,2014,2,large,27.5,5.98,7.615916491,102,148,3610,129,148,-19,-19,27,,,,
400467,400467,2014,2,large,22,5.18,7.109967589,123,148,1000,130,148,-18,-18,7,,,,
400468,400468R13,2014,2,large,22,5.18,7.109967589,123,148,4060,130,148,-18,-18,7,,,,
400468,400468R202,2014,2,small,22,5.18,7.109967589,123,148,4060,130,148,-18,-18,7,,,,
400563,400563,2014,2,large,16.5,8.97,6.995524883,133,148,1000,131,148,-17,-17,-2,,,,
400795,400795R102,2014,30,small,5,0.85,2.260824919,157,164,5350,133,172,-31,-39,-24,,,,
400795,400795R13,2014,30,large,5,0.85,2.260824919,157,164,5350,133,172,-31,-39,-24,,,,
