"","Year","Depth","Station","chla.Peak.1","chla.Peak.4","DOY.debut","DOY.peak4","Volume","DOY","DOY.peak1","DSP.4","DSP.1","DSB.4","X","X.1","X.2","X.3","stationGr","(Intercept)","stationGrcentre","stationGrgreenland","(Intercept).1","Year2015","Year2016","DMS0.x","DMS1.x","Motility0","Motility1","DMS0.y","DMS1.y"
"2014-17","2014",16,17,12.53,8.465546489,133,148,4525,127,148,-21,-21,-6,NA,NA,NA,NA,"centre",1,1,0,1,0,0,16.6676452623568,6.03511716858241,5.54585635359116,11.1314917127072,16.6676452623568,6.03511716858241
"2014-20","2014",16,20,15.55,14.49115968,111,140,3410,128,140,-12,-12,17,NA,NA,NA,NA,"centre",1,1,0,1,0,0,23.9485733448616,7.39541492493316,12.1372434017595,13.2788856304985,23.9485733448616,7.39541492493316
"2014-22","2014",2,22,5.18,7.109967589,123,148,3040,130,148,-18,-18,7,NA,NA,NA,NA,"centre",1,1,0,1,0,0,14.6567936722602,1.74550895931878,1.83947368421053,8.20032894736842,14.6567936722602,1.74550895931878
"2014-27.5","2014",16,27.5,5.98,7.615916491,102,148,4030,129,148,-19,-19,27,NA,NA,NA,NA,"greenland",1,0,1,1,0,0,22.9520336180426,4.00255695267705,13.9429280397022,7.13573200992556,22.9520336180426,4.00255695267705
"2014-5","2014",16,5,0.85,2.260824919,157,164,4095,133,172,-31,-39,-24,NA,NA,NA,NA,"lss",1,0,0,1,0,0,18.9798821993222,3.66505064561067,2.49426129426129,15.2705738705739,18.9798821993222,3.66505064561067
"2015-14","2015",13.2,14,16.36,10.37669861,117,140,1440,129,140,-11,-11,12,NA,NA,NA,NA,"centre",1,1,0,1,1,0,53.739469351471,20.2334473151957,14.2284722222222,30.00625,53.739469351471,20.2334473151957
"2015-18","2015",2,18,5.03,8.973166943,97,140,2090,133,132,-7,1,36,NA,NA,NA,NA,"centre",1,1,0,1,1,0,27.4559986659229,6.3856281283355,22.577033492823,9.77368421052632,27.4559986659229,6.3856281283355
"2015-23","2015",16,23,12.58,8.270330667,82,140,1210,131,140,-9,-9,49,NA,NA,NA,NA,"centre",1,1,0,1,1,0,71.8095133587868,23.5218915998909,50.3082644628099,37.6727272727273,71.8095133587868,23.5218915998909
"2015-8.5","2015",13.2,8.5,2.46,2.407131275,143,156,2012,135,156,-21,-21,-8,NA,NA,NA,NA,"lss",1,0,0,1,1,0,39.040945816447,15.9376824141693,18.3424453280318,24.2992047713718,39.040945816447,15.9376824141693
"2016-13.5","2016",16,13.5,4.58,3.10903731,126,172,2345,129,172,-43,-43,3,NA,NA,NA,NA,"centre",1,1,0,1,0,1,36.133205009225,11.9721254811801,7.40511727078891,24.7620469083156,36.133205009225,11.9721254811801
"2016-20.5","2016",16,20.5,2.98,3.754850388,141,172,2030,131,156,-41,-25,-10,NA,NA,NA,NA,"centre",1,1,0,1,0,1,24.7318561873493,27.6804590835867,12.1748768472906,33.0689655172414,24.7318561873493,27.6804590835867
"2016-23.5","2016",16,23.5,1.78,2.005649358,141,180,2570,133,180,-47,-47,-8,NA,NA,NA,NA,"centre",1,1,0,1,0,1,22.5363076256803,15.9668052147867,9.8727626459144,22.6677042801556,22.5363076256803,15.9668052147867
"2016-28.5","2016",16,28.5,2.24,2.396198193,124,132,2865,132,132,0,0,8,NA,NA,NA,NA,"greenland",1,0,1,1,0,1,16.6038079753243,16.2663490927385,12.4914485165794,12.3612565445026,16.6038079753243,16.2663490927385
"2016-6","2016",16,6,1.38,1.41835779,131,172,3330,136,164,-36,-28,5,NA,NA,NA,NA,"lss",1,0,0,1,0,1,20.9021029470291,4.24324239831621,3.7003003003003,14.0171171171171,20.9021029470291,4.24324239831621
"2016-8.5","2016",16,8.5,3.2,2.523382008,127,180,2735,128,180,-52,-52,1,NA,NA,NA,NA,"lss",1,0,0,1,0,1,26.7680261153271,16.7467819285486,9.1510054844607,24.6566727605119,26.7680261153271,16.7467819285486
